,roles,companies,locations,experience,skills
147,ML Ai Data Scientist,TRUECONNECT STRATEGIC SERVICES PRIVATE LIMITED,Bengaluru,10-20 Yrs,"Data Science
Predictive Modeling
Python for AI
Artificial Intelligence
Data Scientist
Data Visualization
R Programing
Machine Learning"
148,Data Scientist - Statistical Modeling/predictive Modeling,Confidential,Bengaluru,4-6 Yrs,"Data Science
Predictive Modeling
Regression Algorithms
R
Power BI
Data Scientist
Statistical Modeling
Neural Networks"
149,Data Scientist,Bigshyft Hiring for ThoughtFocus,Bengaluru,3-5 Yrs,"Scala
Hadoop
SciKit-Learn
Big data
Spark"
150,"Opening For Data Scientist 8-13 yrs, Bangalore",Careernet Technologies Pvt Ltd,Bengaluru,8-13 Yrs,"image processing
python
nlp
Algorithms
computer vision
linux
Natural Language Processing
Pandas"
151,Data Scientist,Bigshyft Hiring for Econolytics,Bengaluru,2-5 Yrs,"R
Data Warehousing
Machine Learning ML
Statistical Modelling
Python"
152,DATA Scientist- ( H/ F ),Societe Generale Global Solution Centre Pvt Ltd,"Chennai, India",12-15 Yrs,"Data Science
Java
R
NLP
NoSQL
Investment Banking
C
Machine Learning"
153,Lead Data Scientist,Bigshyft Hiring for Meru Mobility Tech Pvt. Ltd,Mumbai,5-10 Yrs,"NLP - Natural Language Processing
R
Algorithms
Machine Learning
Python"
154,Data Scientist,Bigshyft Hiring for Global Gene Corp,"Mumbai, Ahmedabad",4-9 Yrs,"NLP - Natural Language Processing
R
Data Mining
Machine Learning
Python"
155,Data Scientist/Data Science,Skyleaf Consultants,Mumbai,8-13 Yrs,"matlab
python
bigdata
neural networks
robotics
machine learning
iot
deep learning"
156,AGM Data Scientist - Top Durable Brand - Mumbai,Smart Source,Mumbai,10-18 Yrs,"data science
team role
machine learning
market analysis
predictive analysis"
157,Senior Data Scientist/CTO,Excel Enterprises,Chennai,3-8 Yrs,"python
data analysis
SAS
machine learning
sql
tableau
R
nlp"
158,Senior Scientist/nlp/ Machine Learning/ Data Mining Professional,Career Maker,Bengaluru,2-7 Yrs,"Java
C++
R
NLP
Linux
SAS
Data Management
Data Mining"
159,Senior Scientist/ NLP/ Machine Learning/ Data Mining Professional,Career Maker,Bengaluru,2-7 Yrs,"Java
C++
R
NLP
Linux
SAS
Data Management
Data Mining"
160,Data Scientist,Quality Engineering Software Technologies Pvt. Ltd.,Bengaluru,4-8 Yrs,"deep learning
Machine learning
Predictive analytics
Quest
Python"
161,Data Scientist/ Academic Counselor,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,"Chennai, Bengaluru",2-7 Yrs,"Data Science
Artificial Intelligence
training
Tableau
Machine Learning
Python
sql"
162,Data Scientist,Khatabook,Bengaluru,4-9 Yrs,"SAAS
Machine learning
MOM"
163,Hiring For Data Analyst/ Data Scientist For an Organisation in Delhi,M/s SIWA SEARCHER PVT. LTD.,Delhi NCR,3-6 Yrs,"Statistical Modeling
Data Mining
Advanced Excel
Data Cleaning
Algorithm
Python"
164,Principal Data Scientist - Machine/ Deep Learning - NLP/ Tensorflow,Fidius advisory,Bengaluru,8-13 Yrs,"Data Science
Tensorflow
NLP
Data Scientist
Machine Learning
PhD
Decision Science
Deep Learning"
165,Data Scientist,Quality Engineering Software Technologies Pvt. Ltd.,Bengaluru,5-8 Yrs,"Mac Os
IOS
Quest
Python"
166,Data Scientist,Optum Global Solutions (India) Private Limited,Bengaluru,5-7 Yrs,"Predictive Modeling
Hadoop
Operations Research
Problem Solving
Keras
Machine Learning
Numpy
Python"
167,Immediate Requirement For Data Scientist,Globussoft,Bengaluru(Koramangala),0-1 Yrs,"Predictive Modeling
NLP
Algorithms
NoSQL
Data Mining
Data Scraping
Machine Learning
Deep Learning"
168,Principal Data Scientist - Machine/Deep Learning - NLP/Tensorflow,Fidius advisory,Bengaluru,8-13 Yrs,"Tensorflow
NLP
PyTorch
data science
product management
design
Deep Learning"
169,Data Scientist III,Concentrix Technologies India Pvt. Ltd,Gurgaon,2-6 Yrs,"UI development
Object oriented design
metadata
Team management
Machine learning
JSON
Open source
SDLC"
170,Analyst Data Scientist,CAMSDATA Technologies India Pvt Ltd,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad",3-8 Yrs,"Data analysis
software
Data mining
tools
Analytics
research
Data architecture
Computer science"
171,Analyst Data Scientist,CAMSDATA Technologies India Pvt Ltd,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad",3-8 Yrs,"Computer science
Evaluation
Data analysis
Email
Data management
Tools
Information retrieval
Data processing"
172,"Lead Data Scientist (data Analysis, Machine Learning)",HERE Technologies,"Mumbai, Mumbai City",5-10 Yrs,"Data Science
data analysis
Algorithm development
Statistical Modeling
Machine Learning
Modeling
Python"
173,Data Scientist / Business Analyst,Analytics Vidhya Educon Pvt. Ltd,Mumbai,10-15 Yrs,"MS SQL
Excel
data science
Financial reporting
RDBMS
Database design
Analytical
HTML"
174,Principal Data Scientist,Bigshyft Hiring for Cuelogic Technologies,Pune,4-7 Yrs,"Data Structures
Big Data
Machine Learning
Python"
175,Senior Data Scientist & Data Analyst,BSRI Solutions Private Limited,Chennai,4-8 Yrs,"cloudera
hive
python
data analysis
data mining
pyspark
hadoop framework
machine learning"
176,Sr.Data Scientist,Innefu Labs,Delhi,3-8 Yrs,Python
177,Data Analyst/ Data Scientist,Platinus Technologies Private Limited,Hyderabad,7-12 Yrs,"C++
C
Algorithms
Opencv
Image Processing
Data Structures
Computer Vision
Business Development Management"
178,Data Scientist - Image Processing/machine Learning,CarbyneTech India,Hyderabad,6-11 Yrs,"Predictive Modeling
Data Science
Data Scientist
Time Series Analysis
Image Processing
Data Management
Statistical Analyst
Machine Learning"
179,Data Scientist - Image Processing/Machine Learning,CarbyneTech India,Hyderabad,6-10 Yrs,"Data Science
Logistic Regression
Exploratory Data Analysis
Linear Regression
Advanced Analytics
Decision Trees
SVM
Machine Learning"
180,Data Scientist - Image Processing/Machine Learning,CarbyneTech India,Hyderabad,6-10 Yrs,"Data Science
Logistic Regression
Exploratory Data Analysis
Linear Regression
Advanced Analytics
Decision Trees
SVM
Machine Learning"
181,Data Scientist - Machine/deep Learning Algorithms,CarbyneTech India,Hyderabad,3-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Neural Networks
Machine Learning
Deep Learning
Python"
182,Mgr - Data Scientist ( Immediate Joinees ONLY _ 15 days ),Pylon Management Consulting Pvt Ltd,"Gurgaon, Noida",6-9 Yrs,"Logistic Regression
Time Series Analysis
Cluster Analysis
deep learning
advanced analytics
python
client engagement
statistical modeling"
183,Data Scientist - Fintech Startup,3D India Staffing Research & Consulting Pvt Ltd,"Gurgaon, Gurugram",3-5 Yrs,"R
Lending
SAS
Data Scientist
Hadoop
Spark
IIM
Analytics"
184,Data Scientist,KONE Elevator India Pvt. Ltd,Pune,3-5 Yrs,"predictive algorithms
K-Means
Github
Generalized Linear Model
random forest
Clustering
Machine Learning
Deep Learning"
185,Data Scientist,Kudos Finance & Investments Private Limited,Pune,5-10 Yrs,"HR
Business solutions"
186,Data Scientist - R/spss/python,Serving Skill,Japan,2-6 Yrs,"Data Science
R
DataOps
Data Scientist
Data Management
Statistical Modeling
Statistical Analyst
SPSS"
187,Data Scientist,Bigshyft Hiring for Valiance Solutions,Noida,1-3 Yrs,"Scala
Data Mining
Spark"
188,Data Scientist / Data Analyst,Bloom Consulting Services,Bengaluru,6-11 Yrs,"Computer science
SAS
Consulting
Data Analyst
Perl
Business solutions
Ruby
Performance improvement"
189,Data Scientist - Big Data / Machine Learning,India Israel Innovation HUB,Delhi NCR,7-12 Yrs,"C#
Data Science
Java
Data Scientist
Artificial Intelligence
SCALA
Big Data
Senior Data Scientist"
190,Lead / principal Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-5 Yrs,"Operations research
Analytical
Machine learning
linear regression
Data quality
Oracle
Data mining
Digital marketing"
191,Lead / principal Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-4 Yrs,"Operations research
Analytical
Machine learning
Data quality
Oracle
Data mining
Digital marketing
big data"
192,Data Scientist,Dasceq,Bengaluru,0-1 Yrs,"Computer science
Data analysis
French
Networking
Coding
Predictive modeling
MS Office
Data mining"
193,Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
194,Data Analyst / Data Scientist,Veda Semantics,Bengaluru,3-5 Yrs,"Health insurance
Analytical
Relationship building
Machine learning
Data collection
Wellness
Business Development Executive
Customer service"
195,Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-5 Yrs,"data cleansing
Automation
Data analysis
data science
Manager Program Management
Artificial Intelligence
Data collection
Feasibility analysis"
196,Opportunity For Data Scientist Internship - Bengaluru,Corner Stone Solutions,Bengaluru,0-1 Yrs,"Data Science
R
tensorflow
NLP
Algorithms
Opencv
Artificial Intelligence
MATLAB"
197,Data Scientist,Gray Routes,Mumbai,0-2 Yrs,"Data Science
MatplotLib
Artificial Intelligence
Data Scientist
Pandas
Keras
Tensorflow GPU
Seaborn"
198,Senior Data Scientist - Deep Learning/algorithm,Innoplexus Consulting services Pvt Ltd,Pune,6-11 Yrs,"Data Science
NoSQL
NLP
Data Scientist
PhD
Algorithm
Machine Learning
Deep Learning"
199,Senior Data Scientist,WELLS FARGO EGS (India) PRIVATE LIMITED,Bengaluru,6-10 Yrs,"python
text mining
machine learning"
200,Senior Data Scientist,WELLS FARGO EGS (India) PRIVATE LIMITED,Bengaluru,6-10 Yrs,"python
text mining
machine learning"
201,Data Scientist For Leading Malaysian Retai Bank -work In Kuala Lumpur,Mission Consultancy Services,Malaysia,3-8 Yrs,"Predictive Modeling
Analytics
Python
Product Development
Customer Experience
Insurance
Banking
Personal Loans"
202,Senior Manager I - Data Scientist,Walmart,Other,0-5 Yrs,NA
203,Data Scientist,Eighteen Pixels India Private Limited,Delhi NCR(Lodhi Colony),3-5 Yrs,"python
NLP
structural equation modelling
Artificial Intelligence
Natural Language Processing
social network analysis
Neural Networks
Machine Learning"
204,Data Scientist,EXL Services.com ( I ) Pvt. Ltd.,Ahmedabad,2-5 Yrs,"Predictive Modeling
XGBoost
Time Series Analysis
Time Series
Machine Learning
Modeling
Python"
205,Data Scientist | Kochi or Trivandrum,Experion Technologies (I) Pvt. Ltd.,"Trivandrum, Kochi",7-10 Yrs,"Java
Hive
Couchdb
Hadoop
MySQL
MS SQL Server
MongoDB
Spark"
206,Data Scientist,Shell India Markets Private Limited,Chennai,5-7 Yrs,"Data Science
Multivariate Analysis
Factor Analysis
Natural Language Processing
Reinforcement Learning
Neural Networks
Market Basket Analysis
Decision Trees"
207,Data Scientist,Walmart Labs,Chennai,2-6 Yrs,"Order management
Supply chain
Computer science
SAN
Supply chain management
SAS
Machine learning
Troubleshooting"
208,DATA SCIENTIST,Innefu Labs,Delhi,4-9 Yrs,"Business research
Manager Technology
Research"
209,Jr Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Hyderabad,2-7 Yrs,"NoSQL
data science
RDBMS
cassandra
HTML
Data mining
SDLC
Analytics"
210,Data Scientist,AXCESS CONSULTANCY SERVICES,Hyderabad,0-5 Yrs,"data cleansing
Automation
Data analysis
tableau
data science
Manager Program Management
Data collection
Feasibility analysis"
211,Data Scientist - Credit Risk Analysis - Fintech - IIT/ IIM/ Bits/ NIT,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,3-5 Yrs,"Quantitative Analysis
Product Management
Lending
IIM
Statistical Analysis
Machine Learning
Credit Risk Analysis
Analytics"
212,Data Scientist,AXCESS CONSULTANCY SERVICES,Pune,0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
213,Data Scientist,AXCESS CONSULTANCY SERVICES,Pune,0-5 Yrs,"data cleansing
Automation
Data analysis
data science
Manager Program Management
Artificial Intelligence
Data collection
Feasibility analysis"
214,Machine Learning Engineer/data Scientist,AUTODESK INDIA PRIVATE LIMITED,Bengaluru,5-10 Yrs,"kubernetes
scala
anomaly detection
docker
salesforce
deep learning
tensorflow
jupyter"
215,Lead Data Scientist / Machine Learning Expert,Bidgely Technologies Private Limited,Bengaluru,6-9 Yrs,"Product management
Computer science
Data analysis
Interpersonal skills
Machine learning
Intellectual property
Data mining
MATLAB"
216,Data Scientist - Machine & Deep Learning,Connexions,Bengaluru,2-7 Yrs,"Data Science
NLP
Data Scientist
Big Data
Data Mining
Data Modeling
Machine Learning
Deep Learning"
217,Assistant Manager/ Manager/ Data Scientist - Python/ Machine Learning,Huquo Consulting Pvt. Ltd,Bengaluru,3-8 Yrs,"Data Science
Predictive Modeling
NLP
Data Scientist
Data Management
Machine Learning
Python"
218,"Senior Data Scientist - Ai/ml, SVM",Axim Technologies,Bengaluru,9-14 Yrs,"Decision Tree
NLP
API development
Data Scientist
data mining
AI / Ml
SVM
quantitative analysis"
219,Data Scientist - Machine Learning/Artificial Intelligence/ Python,Careerera,Bengaluru,4-6 Yrs,"Data analysis
Image processing
Coding
Bfsi
Machine learning
Data structures
CMMI
Customer support"
220,Data Scientist / Machine learning Expert,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,8-13 Yrs,"Product management
Computer science
C++
Data analysis
data science
HTML
Data mining
MATLAB"
221,Junior Data Scientist,Analytos,India,0-2 Yrs,"Text mining
deep learning
NoSQL
RF
data science
Data research
Data modeling
Manager Technology"
222,Sr. Data Scientist / Team Manager,AVE-Promagne,"Chennai, Bengaluru, Remote",7-9 Yrs,"NLP
data science
neural networks
AI
machine learning
ML"
223,"Senior Data Scientist [ML Model,azure ML Pipeline,python,r ]",eInfochips Limited,Bengaluru(6th block Koramangala),8-12 Yrs,"Data Science
R
tensorflow
Pickle
Artificial Intelligence
PMML
ML Models
Python"
224,Data Scientist Machine Learning,Symmetrical Management Consulting,Bengaluru,10-15 Yrs,"deep learning
Data modeling
Coding
Machine learning
E-commerce
HTML
HR"
225,Data Scientist,AXCESS CONSULTANCY SERVICES,Gurgaon,0-4 Yrs,"Product management
SAS
Coding
Bfsi
MySQL
Data structures
Analytics
Monitoring"
226,Data Scientist,AXCESS CONSULTANCY SERVICES,"Gurgaon, haryana",0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
227,Associate Data Scientist | Gurgaon | 0.6 - 2 Years,XTAGE TECHNOLOGIES PRIVATE LIMITED,"Delhi NCR, Gurgaon",0-2 Yrs,"advanced analytics
modeling
market mix modeling
marketing analytics
regression
statistics"
228,"Data Scientist, Machine Learning & AI Openings with our Clients",QuickXpert Infotech,"Mumbai Suburbs, Navi Mumbai, Mumbai, Thane",6-11 Yrs,"deep learning and development
python
ai
lead data scientist
r developer
machine learning
python developer
artificial intelligence"
229,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,6-8 Yrs,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio"
230,"Machine Learning , Data Scientist",Maestro Placement Consultancy Services,Mumbai,10-15 Yrs,"GIS
deep learning
Data modeling
Analytical
Machine learning
FMCG
microsoft
big data"
231,Senior Data Scientist–(Exp In SQL/Python),KP HR AND INFRA SERVICES,Pune(Viman Nagar),4-7 Yrs,"Data Science
PYTHON
Machine Learning
SQL"
232,Data Scientist,Bigshyft Hiring for Payu,Bengaluru,3-5 Yrs,"Neo4j
Hadoop
Machine Learning ML
AWS
Python"
233,Data Scientist,Bigshyft Hiring for ALTEN Calsoft Labs,Bengaluru,3-7 Yrs,"Scala
Hadoop
Predictive Modelling
SQL
Python"
234,Data Scientist,Consult Shekhar Pandey,"Delhi NCR, Bengaluru",5-10 Yrs,"Predictive Modeling
Pattern Recognition
R
SAS
Seaborn
Tableau
Machine Learning
Statistics"
235,Data Scientist,Bigshyft Hiring for Promptcloud,Bengaluru,2-3 Yrs,"Tensorflow
Natural Language Processing NLP
Machine Learning ML
Python"
236,Data Scientist,Bigshyft Hiring for Cimpress India,Bengaluru,3-7 Yrs,"Java
Machine Learning ML
Statistical Modelling
Deep Learning
Python"
237,Data Scientist,Bigshyft Hiring for Mobile Programming LLC,Bengaluru,4-6 Yrs,"R
Algorithms
MongoDB
Statistical Modelling
Python"
238,Data Scientist,AXCESS CONSULTANCY SERVICES,Noida,0-3 Yrs,"Supply chain
Data analysis
Statistical analysis
Analytical
Machine learning
Data processing
Data mining
Operations"
239,Principal Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,0-3 Yrs,"Computer science
Data analysis
Machine learning
SCALA
Apache
microsoft
Adobe
Data mining"
240,Data Scientist / Analyst,Hyrefox,Jaipur,2-7 Yrs,"Business objects
Google Analytics
Coding
MySQL
Machine learning
Predictive modeling
Data mining
Business solutions"
241,Data Scientist,AXCESS CONSULTANCY SERVICES,Chennai,0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
242,Data Scientist,Albot Technologies Pvt Ltd,"Delhi NCR, Bengaluru, Chandigarh",2-5 Yrs,"virtualization
Scala
linear regression
cryptography
reverse engineering
random forest
machine learning
Deep Learning"
243,Position Data Scientist,Positive Integers Pvt Ltd,Chennai,0-1 Yrs,"assembly language
JavaScript
Real Time Operating Systems
.NET
HTML
Oracle
Python"
244,Data Scientist/ Decision Science-analyst,EXL Services.com ( I ) Pvt. Ltd.,Delhi NCR,4-8 Yrs,"Data Transformation
Performance Testing
Model Validation
Credit Risk
Data Extraction
Risk Modeling
Machine Learning
Python"
245,Data Scientist,InnovAccer,Noida,0-1 Yrs,"SAN
GIT
Coding
MySQL
Machine learning
Javascript
Data structures
Healthcare"
246,Data Scientist - Image Recognition/machine Learning,CarbyneTech India,Hyderabad,5-10 Yrs,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
247,Senior Data Scientist - Pharma Domain,Konnectrack Info Solutions,Hyderabad,9-14 Yrs,"Data Science
R
NLP
SAS
Data Scientist
Artificial Intelligence
Statistical Analyst
SPSS"
248,Full Stack Data Scientist,IHS India,Gurgaon,3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
249,Full Stack Data Scientist,IHS India,"Gurgaon, haryana",3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
250,Business Analyst/data Scientist,IT TRAILBLAZERS CONSULTING PVT. LTD.,Mumbai(Bandra Kurla Complex),10-20 Yrs,"Financial Services
Finance
Problem Solving
Corporate Banking
Credit Risk
Product Data Management
Data Analytics
Business Analysis"
251,Data Scientist,Bigshyft Hiring for Worley,Mumbai,5-10 Yrs,"R
Algorithms
Spark
Machine Learning ML
Python"
252,"Sr Data Scientist - Computer Vision, Deep Learning",HERE Technologies,"Mumbai, Mumbai City",4-9 Yrs,"Data Science
Image segmentation
Deep Learning Computer Vision
Object detection
Machine Learning"
253,Data Scientist III,"General Mills, Inc.",Mumbai,6-11 Yrs,"Automation
Analytical
Machine learning
HTML
Data mining
Business solutions
Operations
Analytics"
254,Job Opening For Data Scientist /AI Developer For Navi Mumbai Location,Kanthwal services,"Navi Mumbai, Mumbai",3-8 Yrs,"linear regresson
gits
oop
python
software development
project development
neural networks
mathematical models"
255,Sr NLP & Text Mining Data Scientist,Valence Health,Pune,7-12 Yrs,"Unix
C++
Automation
data science
Linux
Agile
Data structures
Open source"
256,Lead Machine Learning Engineer/ Data Scientist,whiz.ai,Pune,5-9 Yrs,"ERP
Analytical
XML
Machine learning
Data quality
MATLAB
Forecasting
SQL"
257,Data Analyst - Fresher - Data Scientist - SAS - Python - Tableau -OSD,STRUCTURED LEARNING ASSISTANCE CONSULTANTS INDIA PRIVATE LIMITED,"Bhubaneshwar, Lucknow, Bhopal, Indore, Patna, Jaipur",0-0 Yrs,"python
fresher data analyst
sas
Business Analytics
graduation fresher
fresher python
machine learning
fresher reporting analyst"
258,Data Analyst - Fresher - Data Scientist - SAS - Python - Tableau - MNC,STRUCTURED LEARNING ASSISTANCE CONSULTANTS INDIA PRIVATE LIMITED,"Faridabad, Delhi NCR, Greater Noida",0-5 Yrs,"python
fresher data analyst
sas
Business Analytics
graduation fresher
fresher python
machine learning
fresher reporting analyst"
259,Senior Data Scientist - Marketing Analytics,Scienaptic Systems,Bengaluru,5-7 Yrs,"CVS
Marketing analytics
Automation
Business analytics
Machine learning
Data mining
Digital marketing
Forecasting"
260,Senior Data Scientist,Lymbyc,Bengaluru,5-7 Yrs,"Computer science
Computer vision
Operations research
google api
Machine learning
SCALA
Natural language processing
Data mining"
261,Data Scientist,"Digital Management, Inc.",Bengaluru,5-10 Yrs,"Computer science
Data analysis
Factor analysis
Neural networks
Business analytics
Machine learning
Data processing
data visualization"
262,Data Scientist,Fractal Analytics Ltd,Bengaluru,3-6 Yrs,"Linux
RF
RDBMS
Bfsi
Consulting
Data structures
Healthcare
SEM"
263,Full Stack Data Scientist,IHS India,Bengaluru,3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
264,"Data Scientist - Python/r, Ai/ml, NLP",Axim Technologies,Bengaluru,4-8 Yrs,"ML / AI
NLP
Data Scientist
Python / R"
265,Lead Data Scientist,Axim Technologies,Bengaluru,7-10 Yrs,"Algorithms
Use Cases
Artificial Intelligence
Reinforcement Learning
Lead Data Scientist
Machine Learning
Deep Learning
Solution Implementation"
266,Senior Data Scientist - Marketing Analytics,TVS Credit Services Limited,Chennai(Nungambakkam),4-9 Yrs,"customer analytics
marketing analytics
attribution modelling
market mix modelling
campaign analytics
Machine Learning"
267,Principal Data Scientist,Axim Technologies,"Bengaluru, Karnataka",5-8 Yrs,"Unix
Java
Container
Algorithms
Multithreading
Linux
Docker
Data Scientist"
268,Data Scientist (ml/nlp) - (iit/nit/bits),AVE-Promagne,Bengaluru,3-5 Yrs,"NLP
data science
neural networks
machine learning
ML"
269,Data Scientist / Decision Scientist (10 - 15 Years ),Maveric Systems Limited,Bengaluru,10-16 Yrs,"hive
python
Big Data Analytics
sas
Bfsi
data mining
Artificial Intelligence
Hadoop"
270,Senior Data Scientist,Harpreet Kaur Bhatti,Germany,5-10 Yrs,"Java
Python
SQL
Data Science
Amazon Redshift
Java Architecture
Javascript
Spark"
271,Web Analyst - Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,8-12 Yrs,"data science
SAS
Web analytics
Analytical
Social media
HTML
Omniture
Analytics"
272,Senior Data Scientist,Turings (formerly Tuple),"Delhi NCR, Bengaluru, Hyderabad",6-11 Yrs,"deep learning
algorithms
python
data science
Scalability
Data Analysis
Statistical Modeling
data structures"
273,Data Scientist - Uber Eats Payments,Uber,Hyderabad,3-8 Yrs,"Product management
Computer science
Root cause analysis
Business leadership
data science
Analytical
Data Analyst
Analytics"
274,Associate Director Data Scientist- Data Architecture,Novartis Healthcare Pvt. Ltd.,Hyderabad,8-12 Yrs,"Data Science
Power Bi
Qlik Sense
Artificial Intelligence
Tableau
Data Architecture
R Shiny
Analytics"
275,Co-founder & Chief Data Scientist/senior Data Scientist,Benovymed Healthcare,Gurgaon,1-6 Yrs,"Tensorflow
NLP
Data Scientist
Artificial Intelligence
Data Architect
Data Warehousing
Algorithm
Machine Learning"
276,Data scientist,Meyrahkee,"Pune, Mumbai, Bengaluru",3-7 Yrs,"Computer science
GCP
Machine learning
Cloud
Manager Technology
Workflow
E-commerce
Data quality"
277,Data Scientist,Fractal Analytics Ltd,Mumbai,2-5 Yrs,"Unix
Computer science
Logistic regression
Analytical
Data processing
Data structures
Data mining
Open source"
278,Data Scientist,VARIATION COMPUSOLUTION LLP,Pune,1-6 Yrs,"analytics
deep learning
python
tensorflow
nlp
neural networks
machine learning
technical skills"
279,Data Scientist,VARIATION COMPUSOLUTION LLP,Pune,1-6 Yrs,"analytics
deep learning
python
tensorflow
nlp
neural networks
machine learning
technical skills"
280,Data Scientist,VARIATION COMPUSOLUTION LLP,Pune,1-6 Yrs,"analytics
deep learning
python
tensorflow
nlp
neural networks
machine learning
technical skills"
281,Senior Data Scientist,NutaNXT Technologies,"Pune, Bengaluru",10-20 Yrs,"SAN
Data analysis
Python"
282,Data Scientist,Amdocs Development Center India Pvt. Ltd.,Pune,2-4 Yrs,"Data analysis
Factor analysis
Neural networks
Machine learning
Data collection
Natural language processing
Research
Open source"
283,Senior Data Scientist / Machine Learning Engineer,Winning Edge India,Bengaluru,8-12 Yrs,"Data Science
Malware
Security
Machine Learning"
284,Senior Data Scientist - Machine Learning & Regression Algorithms,Confidential,Bengaluru,6-10 Yrs,"Data Science
Predictive Modeling
Regression Algorithms
R
Power BI
Data Scientist
Statistical Modeling
Data Visualization"
285,Senior Data Scientist / Machine Learning / AI Engineer,Bion,Bengaluru,8-10 Yrs,"Java
Rest
Software Development
Artificial Intelligence
Weblogic
Javascript
Programming
J2Ee"
286,Senior Data Scientist / Machine Learning / AI Engineer,Bion,Bengaluru,8-13 Yrs,"Java
Rest
Software Development
Artificial Intelligence
Weblogic
Javascript
Programming
J2Ee"
287,Senior Data Scientist,ISB,Mohali,5-10 Yrs,"Computer science
CVS
Data analysis
Social media
Machine learning
Data mining
MATLAB
Information technology"
288,Artificial Intelligence Expert - Data Scientist/ Machine Learning,New Era India,United States,11-15 Yrs,"Speech Recognition
NLP
Artificial Intelligence
Image Processing
Data Scientist
Computer Vision
Machine Learning
PhD"
289,Machine Learning Developer / Data Scientist,Logica Infotech,Kolkata,5-10 Yrs,"Unix
SAN
jQuery
Linux
SAS
Data structures
Windows
SQL"
290,Data Scientist,staffio HR,"Pune, Mumbai, Hyderabad, Gurgaon",3-8 Yrs,"Unix
Computer science
Prototype
Front end
Analytical
Javascript
PHP
Data mining"
291,Data Scientist,Bigshyft Hiring for Payu,Gurgaon,3-5 Yrs,"Neo4j
Hadoop
Machine Learning ML
AWS
Python"
292,Data Scientist - Fintech Startup - IIT/ IIM/ Bits/ NIT,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,3-6 Yrs,"R
Lending
SAS
Hadoop
Spark
IIM
quantitative analysis
Machine Learning"
293,Data Scientist,Bigshyft Hiring for Econolytics,"Delhi, Noida, Gurgaon",5-9 Yrs,"Data Science
R
Algorithms
Python"
294,Senior Data Scientist,STATXO,"Bengaluru, Gurgaon",4-6 Yrs,"Analytical skills
advanced analytics
Chemical
Industrial products
Manager Technology
Market research
MS Office
Word VBA"
295,Data Scientist Machine Learning,Delhivery,Gurgaon,1-3 Yrs,"algorithms
C++
operations
Simulation
Analytical
Machine learning
Tools
CMS"
296,Senior Deep Learning Data Scientist,Number Theory Software,Gurgaon,2-6 Yrs,"Computer vision
deep learning
software architecture
Image processing
Data modeling
Coding
Neural networks
Data structures"
297,Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,"Jamshedpur, Mumbai, Bengaluru",2-7 Yrs,"Data analysis
Data management
HTML
HTTP
Information management
Data mining
Econometrics
Information technology"
298,NLP & Text Mining Data Scientist,Valence Health,Pune,4-9 Yrs,"Unix
C++
Automation
data science
Linux
Agile
Data structures
Open source"
299,Opening For Data Scientist - Birlasoft - Pune,BIRLASOFT LIMITED,Pune,15-20 Yrs,"Data Mining
Glm
Text Mining
Machine Learning
Statistics
Random Forest
R
NLP"
300,Data Scientist,Bigshyft Hiring for Indium Software,Chennai,4-7 Yrs,"R
Machine Learning ML
Statistical Modelling
SQL
Python"
301,Data Scientist,Bigshyft Hiring for Newgen Software,Noida,2-5 Yrs,"Data Science
Tensorflow
Natural Language Processing NLP
Python"
